1,1,0
1,2,2824
1,3,2120
1,4,2140
1,5,3727
1,6,3193
1,7,3500
1,8,1610
1,9,2017
1,10,3852
2,1,2824
2,2,0
2,3,716
2,4,601
2,5,1585
2,6,1004
2,7,1301
2,8,2528
2,9,906
2,10,1712
3,1,2120
3,2,716
3,3,0
3,4,921
3,5,1900
3,6,1366
3,7,1673
3,8,2200
3,9,209
3,10,2027
4,1,2140
4,2,601
4,3,921
4,4,0
4,5,1133
4,6,476
4,7,773
4,8,3133
4,9,835
4,10,1177
5,1,3727
5,2,1585
5,3,1900
5,4,1133
5,5,0
5,6,584
5,7,478
5,8,4115
5,9,1720
5,10,131
6,1,3193
6,2,1004
6,3,1366
6,4,476
6,5,584
6,6,0
6,7,300
6,8,3541
6,9,1186
6,10,711
7,1,3500
7,2,1301
7,3,1673
7,4,773
7,5,478
7,6,300
7,7,0
7,8,3838
7,9,1493
7,10,476
8,1,1610
8,2,2528
8,3,2200
8,4,3133
8,5,4115
8,6,3541
8,7,3838
8,8,0
8,9,2482
8,10,4242
9,1,2017
9,2,906
9,3,209
9,4,835
9,5,1720
9,6,1186
9,7,1493
9,8,2482
9,9,0
9,10,1847
10,1,3852
10,2,1712
10,3,2027
10,4,1177
10,5,131
10,6,711
10,7,476
10,8,4242
10,9,1847
10,10,0
